Title,IMDb Rating,Year,Certificates,Genre,Director,Star Cast,MetaScore,Duration (minutes)
Gladiator,8.5,2000,R,Action,Ridley Scott,David FranzoniJohn LoganWilliam Nicholson,67.0,155.0
Mission: Impossible - Dead Reckoning Part One,7.7,2023,PG-13,Action,Christopher McQuarrie,Tom CruiseHayley AtwellVing Rhames,81.0,163.0
Rebel Moon - Part Two: The Scargiver,5.2,2024,PG-13,Action,Zack Snyder,Zack SnyderKurt JohnstadShay Hatten,35.0,122.0
Inglourious Basterds,8.4,2009,R,Adventure,Quentin Tarantino,Brad PittDiane KrugerEli Roth,69.0,153.0
Borderlands,7.1,2024,R,Action,Eli Roth,Eli RothJoe Crombie,66.9,116.3
Jurassic Park,8.2,1993,PG-13,Action,Steven Spielberg,Michael CrichtonDavid Koepp,68.0,127.0
The Fifth Element,7.6,1997,PG-13,Action,Luc Besson,Luc BessonRobert Mark Kamen,52.0,126.0
Inside Out,8.1,2015,PG,Animation,Pete Docter,Pete DocterRonnie Del CarmenMeg LeFauve,94.0,95.0
Descendants: The Rise of Red,7.1,2024,TV-G,Action,Jennifer Phang,Rita OraJoshua ColleyChina Anne McClain,66.9,116.3
Wish,5.6,2023,PG,Animation,Chris Buck,Jennifer LeeAllison MooreChris Buck,47.0,95.0
The Hunger Games,7.2,2012,PG-13,Action,Gary Ross,Gary RossSuzanne CollinsBilly Ray,68.0,142.0
Rebel Moon - Part One: A Child of Fire,5.6,2023,PG-13,Action,Zack Snyder,Zack SnyderKurt JohnstadShay Hatten,31.0,133.0
Harry Potter and the Sorcerer's Stone,7.6,2001,PG,Adventure,Chris Columbus,Daniel RadcliffeRupert GrintEmma Watson,65.0,152.0
Wonka,7.0,2023,PG,Adventure,Paul King,Roald DahlPaul KingSimon Farnaby,66.0,116.0
Inception,8.8,2010,PG-13,Action,Christopher Nolan,Leonardo DiCaprioJoseph Gordon-LevittElliot Page,74.0,148.0
The Lord of the Rings: The Fellowship of the Ring,8.9,2001,PG-13,Action,Peter Jackson,J.R.R. TolkienFran WalshPhilippa Boyens,92.0,178.0
Twister,6.5,1996,PG-13,Action,Jan de Bont,Helen HuntBill PaxtonCary Elwes,68.0,113.0
Damsel,6.1,2024,PG-13,Action,Juan Carlos Fresnadillo,Millie Bobby BrownRay WinstoneAngela Bassett,46.0,110.0
Dune,6.3,1984,PG-13,Action,David Lynch,Kyle MacLachlanVirginia MadsenFrancesca Annis,41.0,137.0
Arthur the King,7.0,2024,PG-13,Adventure,Simon Cellan Jones,Mark WahlbergSimu LiuJuliet Rylance,54.0,107.0
Kung Fu Panda 4,6.3,2024,PG,Animation,Mike Mitchell,Jonathan AibelGlenn BergerDarren Lemke,54.0,94.0
Mad Max Beyond Thunderdome,6.2,1985,PG-13,Action,George Miller,Terry HayesGeorge MillerByron Kennedy,71.0,107.0
Manjummel Boys,8.4,2024,R,Adventure,Chidambaram,Soubin ShahirSreenath BhasiBalu Varghese,66.9,116.3
Golden Kamuy,6.4,2024,R,Action,Shigeaki Kubo,Kento YamazakiAnna YamadaYûma Yamoto,66.9,116.3
Interstellar,8.7,2014,PG-13,Adventure,Christopher Nolan,Matthew McConaugheyAnne HathawayJessica Chastain,74.0,169.0
Planet of the Apes,8.0,1968,G,Adventure,Franklin J. Schaffner,Michael WilsonRod SerlingPierre Boulle,79.0,112.0
Barbie,6.8,2023,PG-13,Adventure,Greta Gerwig,Margot RobbieRyan GoslingIssa Rae,80.0,114.0
Twisters,7.1,2024,PG-13,Action,Lee Isaac Chung,Mark L. SmithJoseph KosinskiMichael Crichton,66.9,116.3
The Hunger Games: The Ballad of Songbirds & Snakes,6.7,2023,PG-13,Action,Francis Lawrence,Rachel ZeglerTom BlythViola Davis,54.0,157.0
Inside Out 2,7.1,2024,PG,Animation,Kelsey Mann,Amy PoehlerPhyllis SmithLewis Black,66.9,100.0
Bad Boys: Ride or Die,7.1,2024,R,Action,Adil El Arbi,Will SmithMartin LawrenceVanessa Hudgens,66.9,116.3
Mad Max 2: The Road Warrior,7.6,1981,R,Action,George Miller,Terry HayesGeorge MillerBrian Hannant,77.0,96.0
Godzilla Minus One,7.9,2023,PG-13,Action,Takashi Yamazaki,Ryunosuke KamikiMinami HamabeSakura Andô,81.0,124.0
Love Lies Bleeding,6.7,2024,R,Action,Rose Glass,Anna BaryshnikovKristen StewartDave Franco,77.0,104.0
Dawn of the Planet of the Apes,7.6,2014,PG-13,Action,Matt Reeves,Mark BombackRick JaffaAmanda Silver,79.0,130.0
Planet of the Apes,5.7,2001,PG-13,Action,Tim Burton,Pierre BoulleWilliam Broyles Jr.Lawrence Konner,50.0,120.0
Mad Max,6.8,1979,R,Action,George Miller,James McCauslandGeorge MillerByron Kennedy,73.0,88.0
War for the Planet of the Apes,7.4,2017,PG-13,Action,Matt Reeves,Mark BombackMatt ReevesRick Jaffa,82.0,140.0
Ghostbusters: Frozen Empire,6.2,2024,PG-13,Adventure,Gil Kenan,Gil KenanJason ReitmanIvan Reitman,46.0,115.0
Thelma the Unicorn,5.8,2024,PG,Animation,Jared Hess,Brittany HowardWill ForteJon Heder,64.0,93.0
Dune,8.0,2021,PG-13,Action,Denis Villeneuve,Jon SpaihtsDenis VilleneuveEric Roth,74.0,155.0
The Garfield Movie,5.9,2024,PG,Animation,Mark Dindal,Paul A. KaplanMark TorgoveDavid Reynolds,31.0,101.0
Godzilla x Kong: The New Empire,6.2,2024,PG-13,Action,Adam Wingard,Terry RossioAdam WingardSimon Barrett,47.0,115.0
Madame Web,3.9,2024,PG-13,Action,S.J. Clarkson,Matt SazamaBurk SharplessClaire Parker,26.0,116.0
Civil War,7.4,2024,R,Action,Alex Garland,Kirsten DunstWagner MouraCailee Spaeny,75.0,109.0
Mad Max: Fury Road,8.1,2015,R,Action,George Miller,Tom HardyCharlize TheronNicholas Hoult,90.0,120.0
Atlas,5.6,2024,PG-13,Action,Brad Peyton,Jennifer LopezSimu LiuSterling K. Brown,37.0,118.0
Dune: Part Two,8.6,2024,PG-13,Action,Denis Villeneuve,Timothée ChalametZendayaRebecca Ferguson,79.0,166.0
Kingdom of the Planet of the Apes,7.2,2024,PG-13,Action,Wes Ball,Owen TeagueFreya AllanKevin Durand,66.0,145.0
Furiosa: A Mad Max Saga,7.9,2024,R,Action,George Miller,Anya Taylor-JoyChris HemsworthTom Burke,79.0,148.0
WALL·E,8.4,2008,G,Animation,Andrew Stanton,Andrew StantonPete DocterJim Reardon,95.0,98.0
Spider-Man: Beyond the Spider-Verse,7.1,2015,R,Animation,Joaquim Dos Santos,Shameik MooreHailee SteinfeldBrian Tyree Henry,66.9,116.3
Hercules,7.3,1997,G,Animation,Ron Clements,Ron ClementsJohn MuskerDon McEnery,74.0,93.0
Sing,7.1,2016,PG,Animation,Garth Jennings,Matthew McConaugheyReese WitherspoonSeth MacFarlane,59.0,108.0
Castle in the Sky,8.0,1986,PG,Animation,Hayao Miyazaki,Hayao MiyazakiJonathan Swift,78.0,125.0
"Monsters, Inc.",8.1,2001,G,Animation,Pete Docter,Pete DocterJill CultonJeff Pidgeon,79.0,92.0
Tangled,7.7,2010,PG,Animation,Nathan Greno,Mandy MooreZachary LeviDonna Murphy,71.0,100.0
Up,8.3,2009,PG,Animation,Pete Docter,Pete DocterBob PetersonTom McCarthy,88.0,96.0
Toy Story,8.3,1995,G,Animation,John Lasseter,John LasseterPete DocterAndrew Stanton,96.0,81.0
Puss in Boots: The Last Wish,7.8,2022,PG,Animation,Joel Crawford,Paul FisherTommy SwerdlowTom Wheeler,73.0,102.0
Encanto,7.2,2021,PG,Animation,Jared Bush,Charise Castro SmithJared BushByron Howard,75.0,102.0
Coco,8.4,2017,PG,Animation,Lee Unkrich,Lee UnkrichJason KatzMatthew Aldrich,81.0,105.0
Frozen,7.4,2013,PG,Animation,Chris Buck,Jennifer LeeHans Christian AndersenChris Buck,75.0,102.0
Mufasa: The Lion King,7.1,2024,R,Animation,Barry Jenkins,Linda WoolvertonIrene MecchiJonathan Roberts,66.9,116.3
Howl's Moving Castle,8.2,2004,PG,Animation,Hayao Miyazaki,Chieko BaishôTakuya KimuraTatsuya Gashûin,82.0,119.0
Zootopia,8.0,2016,PG,Animation,Byron Howard,Byron HowardRich MooreJared Bush,78.0,108.0
Teenage Mutant Ninja Turtles: Mutant Mayhem,7.2,2023,PG,Animation,Jeff Rowe,Seth RogenEvan GoldbergJeff Rowe,74.0,99.0
Kung Fu Panda,7.6,2008,PG,Animation,Mark Osborne,Jonathan AibelGlenn BergerEthan Reiff,74.0,92.0
The Lion King,6.8,2019,PG,Animation,Jon Favreau,Jeff NathansonIrene MecchiJonathan Roberts,55.0,118.0
Spider-Man: Into the Spider-Verse,8.4,2018,PG,Animation,Bob Persichetti,Phil LordRodney Rothman,87.0,117.0
The Incredibles,8.0,2004,PG,Animation,Brad Bird,Craig T. NelsonSamuel L. JacksonHolly Hunter,90.0,115.0
Mars Express,7.5,2023,Not Rated,Animation,Jérémie Périn,Léa DruckerMathieu AmalricDaniel Njo Lobé,76.0,88.0
Shrek 2,7.3,2004,PG,Animation,Andrew Adamson,William SteigAndrew AdamsonJoe Stillman,75.0,93.0
